原村	138.21772760,35.96445920	長野県諏訪郡原村
大倉谷地	140.47467010,39.17839064	秋田県湯沢市大倉谷地（字）
駒ケ崎	139.70037256,36.17275994	茨城県古河市駒ケ崎
里本江	136.72599033,37.14738407	石川県羽咋郡志賀町里本江
生野	135.53442090,34.65375420	大阪府大阪市生野区
生野	135.53442090,34.65375420	大阪府大阪市生野区
生野	135.53442090,34.65375420	大阪府大阪市生野区
菱刈	130.64077644,32.01384880	鹿児島県伊佐市菱刈前目
津之江	135.60582516,34.84043922	大阪府高槻市津之江町
本牧間門	139.67326444,35.43387239	神奈川県横浜市中区本牧ふ頭
回田	139.49460184,35.72029828	東京都小平市回田町
南垂坂	136.61188677,35.00482014	三重県四日市市南垂坂町
三ツ又	139.06459995,37.23151071	新潟県魚沼市三ツ又
赤瀬川	130.19613121,32.02642691	鹿児島県阿久根市赤瀬川
南川原	140.86300523,38.55465335	宮城県加美郡加美町南川原（字）
永興	131.60497832,33.22148165	大分県大分市永興（大字）
北苅	136.77639017,35.19473529	愛知県あま市北苅
桂上野中	135.70405444,34.99413137	京都府京都市西京区桂上野東町
茂尻新	142.07014603,43.53080814	北海道赤平市茂尻（字）
海邦	127.83576366,26.33095259	沖縄県沖縄市海邦
口坂本	138.27394561,35.18274650	静岡県静岡市葵区口坂本
三岱	140.42012885,42.13799664	北海道茅部郡森町三岱（字）
北小山	136.23484708,35.89842561	福井県越前市北小山町
鳥塚	130.45932792,33.04085539	福岡県大牟田市鳥塚町
白枝	132.73386141,35.36271448	島根県出雲市白枝町
払川	130.72914416,33.89772952	福岡県北九州市若松区払川（大字）
払川	130.72914416,33.89772952	福岡県北九州市若松区払川（大字）
前河内	139.45588874,36.02326874	埼玉県比企郡吉見町前河内（大字）
前河内	139.45588874,36.02326874	埼玉県比企郡吉見町前河内（大字）
弥彦岡	139.36338084,38.03950765	新潟県胎内市弥彦岡
竹間沢	139.54290559,35.82773357	埼玉県入間郡三芳町竹間沢（大字）
川田山田	135.61911876,34.69064800	大阪府東大阪市川田
東四王	138.08849931,36.06994209	長野県諏訪郡下諏訪町東四王
知覧	130.44007291,31.37726456	鹿児島県南九州市知覧町郡
紫竹上梅ノ木	135.75150805,35.05139561	京都府京都市北区紫竹上本町
神滝	136.27464834,34.33669939	三重県多気郡大台町神滝
南一条通	142.37817048,43.75793672	北海道旭川市南一条通
深江鶴亀触	129.75359064,33.76908873	長崎県壱岐市芦辺町深江鶴亀触
鷹峰皿谷	135.73087378,35.05493389	京都府京都市北区鷹峯北鷹峯町
中大塩	138.18314493,36.02418105	長野県茅野市中大塩
上岡島	136.56613916,35.47985339	岐阜県揖斐郡揖斐川町上岡島
葛沢	138.45748341,35.11895947	静岡県静岡市清水区葛沢
葛沢	138.45748341,35.11895947	静岡県静岡市清水区葛沢
蔵良	132.66472373,33.39774759	愛媛県西予市野村町蔵良
釣井	134.10166415,34.78053678	岡山県赤磐市釣井
立川	139.40785130,35.71401670	東京都立川市
立川	139.40785130,35.71401670	東京都立川市
立川	139.40785130,35.71401670	東京都立川市
立川	139.40785130,35.71401670	東京都立川市
岩瀬高畠	137.23267372,36.75130123	富山県富山市岩瀬高畠町
柴又	139.87591799,35.75653928	東京都葛飾区柴又
発寒十一条	141.33138468,43.04414922	北海道札幌市中央区南十一条西
津堅	127.93811962,26.24763862	沖縄県うるま市勝連津堅
福新	136.18608299,36.04897047	福井県福井市福新町
ガギ田	140.10771733,37.55853211	福島県耶麻郡猪苗代町ガギ田（字）
鮒川	131.46006825,32.96452172	大分県豊後大野市緒方町鮒川
新発寒三条	136.76178105,35.30283603	愛知県一宮市三条
